dataset,protocol,evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
AnOxPP,exact_overlap_only,external test,Equal probability mean,424,212,212,0.975436098255607,0.9790901265495213,0.9292452830188679,0.9292452830188679,0.9299065420560748,0.9212962962962963,0.9386792452830188,0.9386792452830188,0.9198113207547169,0.8586434175596518,0.0634725849981188,0.21262651338199856,195,17,13,199
AnOxPP,exact_overlap_only,external test,Equal logit mean,424,212,212,0.977438590245639,0.9817662276222178,0.9292452830188679,0.9292452830188679,0.9299065420560748,0.9212962962962963,0.9386792452830188,0.9386792452830188,0.9198113207547169,0.8586434175596518,0.055483361801451046,0.22731375429863301,195,17,13,199
AnOxPP,exact_overlap_only,external test,Cross-fitted logistic fusion,424,212,212,0.9834015663937344,0.9865346720455297,0.9316037735849056,0.9316037735849056,0.9327146171693735,0.9178082191780822,0.9481132075471698,0.9481132075471698,0.9150943396226415,0.8636784864163456,0.05460749538304397,0.20050661417724788,194,18,11,201
AnOxPP,identity60_coverage80,training grouped OOF,Length LR,1487,699,788,0.5105444325831681,0.49832178140587735,0.5245460659045057,0.5034067885231258,0.22900763358778625,0.481651376146789,0.15021459227467812,0.15021459227467812,0.8565989847715736,0.009614303108699889,0.2485153869401525,0.6900951315914181,675,113,594,105
AnOxPP,identity60_coverage80,training grouped OOF,AAC plus DPC plus length RF,1487,699,788,0.9339556872399295,0.9445102143549767,0.8782784129119031,0.8740032896886778,0.8610897927858787,0.9288079470198676,0.8025751072961373,0.8025751072961373,0.9454314720812182,0.760165741687031,0.1060887720242105,0.35701861978082094,745,43,138,561
AnOxPP,identity60_coverage80,training grouped OOF,Molecular ECFP4 branch,1487,699,788,0.9208314270567814,0.932961699203554,0.8507061197041023,0.8481496408938076,0.8353115727002968,0.8674884437596302,0.8054363376251789,0.8054363376251789,0.8908629441624365,0.7007341547403206,0.1280702042915018,0.7789630753386737,702,86,136,563
AnOxPP,identity60_coverage80,training grouped OOF,Contextual peptide-adapted ESM-2 branch,1487,699,788,0.8624666855478821,0.8752960021627144,0.792871553463349,0.7916421573967161,0.7777777777777778,0.784570596797671,0.771101573676681,0.771101573676681,0.8121827411167513,0.5839271016158758,0.17384027903984614,0.9120019011560396,640,148,160,539
AnOxPP,identity60_coverage80,training grouped OOF,Equal probability mean,1487,699,788,0.9102797324677023,0.9246595111996877,0.855413584398117,0.8528336347065786,0.8403860430586488,0.8734567901234568,0.8097281831187411,0.8097281831187411,0.8959390862944162,0.7102858902086334,0.11785365234975609,0.5301187091216734,706,82,133,566
AnOxPP,identity60_coverage80,training grouped OOF,Equal logit mean,1487,699,788,0.918321496263698,0.9328185186295888,0.855413584398117,0.8528336347065786,0.8403860430586488,0.8734567901234568,0.8097281831187411,0.8097281831187411,0.8959390862944162,0.7102858902086334,0.12024891648504005,0.6330659161119541,706,82,133,566
AnOxPP,identity60_coverage80,external test,Length LR,424,212,212,0.47361160555357773,0.4802673012777038,0.49528301886792453,0.49528301886792453,0.10833333333333334,0.4642857142857143,0.06132075471698113,0.06132075471698113,0.9292452830188679,-0.018993429409939658,0.25330941808369717,0.699803398589611,197,15,199,13
AnOxPP,identity60_coverage80,external test,AAC plus DPC plus length RF,424,212,212,0.9846030615877537,0.9873114514178889,0.9410377358490566,0.9410377358490566,0.9388753056234719,0.9746192893401016,0.9056603773584906,0.9056603773584906,0.9764150943396226,0.8842917328464673,0.07325885849056604,0.27215106102914455,207,5,20,192
AnOxPP,identity60_coverage80,external test,Molecular ECFP4 branch,424,212,212,0.9807315770736917,0.9830500240815745,0.9268867924528302,0.9268867924528301,0.927400468384075,0.9209302325581395,0.9339622641509434,0.9339622641509434,0.9198113207547169,0.8538590814845946,0.061561309265719066,0.23933860120772463,195,17,14,198
AnOxPP,identity60_coverage80,external test,Contextual peptide-adapted ESM-2 branch,424,212,212,0.9053488786044855,0.9121207631558901,0.8231132075471698,0.8231132075471699,0.8299319727891157,0.7991266375545851,0.8632075471698113,0.8632075471698113,0.7830188679245284,0.6483141794941011,0.1408787524995674,0.7382621926424939,166,46,29,183
AnOxPP,identity60_coverage80,external test,Equal probability mean,424,212,212,0.9684718761124954,0.9731387122163888,0.9292452830188679,0.9292452830188679,0.9299065420560748,0.9212962962962963,0.9386792452830188,0.9386792452830188,0.9198113207547169,0.8586434175596518,0.06964966048354819,0.2529906567242981,195,17,13,199
AnOxPP,identity60_coverage80,external test,Equal logit mean,424,212,212,0.9711641153435387,0.9766965097571699,0.9292452830188679,0.9292452830188679,0.9299065420560748,0.9212962962962963,0.9386792452830188,0.9386792452830188,0.9198113207547169,0.8586434175596518,0.06324631961288454,0.2836742215897235,195,17,13,199
AnOxPP,identity60_coverage80,external test,Cross-fitted logistic fusion,424,212,212,0.980442328230687,0.9836214548874004,0.9292452830188679,0.929245283018868,0.9308755760368663,0.9099099099099099,0.9528301886792453,0.9528301886792453,0.9056603773584906,0.8594472296946094,0.059194572589718414,0.21382351393081148,192,20,10,202
