seed,evaluation,model,training_n,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP,learned_local_weight,nested_local_coefficient,nested_context_coefficient,nested_intercept
45,untouched released test after matched training,Equal probability mean,912,302,150,152,0.9367543859649122,0.9264479660732525,0.8642384105960265,0.8642543859649123,0.8637873754152824,0.8609271523178808,0.8666666666666667,0.8666666666666667,0.8618421052631579,0.7284927963857741,0.102344409528933,0.36711196664863416,131,21,20,130,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
45,untouched released test after matched training,Equal logit mean,912,302,150,152,0.9424122807017543,0.9371237394409377,0.8642384105960265,0.8642543859649123,0.8637873754152824,0.8609271523178808,0.8666666666666667,0.8666666666666667,0.8618421052631579,0.7284927963857741,0.11503790121325168,0.4806719194506444,131,21,20,130,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
45,untouched released test after matched training,Learned convex probability mean,912,302,150,152,0.9356140350877192,0.926082005755522,0.847682119205298,0.8475438596491228,0.8435374149659864,0.8611111111111112,0.8266666666666667,0.8266666666666667,0.868421052631579,0.695820547882696,0.10501243150187184,0.37891150806160384,132,20,26,124,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
45,untouched released test after matched training,Nested logistic fusion,912,302,150,152,0.9319736842105263,0.9262034373900659,0.8675496688741722,0.8675438596491228,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.868421052631579,0.7350877192982456,0.09985854544866389,0.3324899202682257,132,20,20,130,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
46,matched-development grouped OOF,Molecular branch,912,912,456,456,0.839388080947984,0.8324118345307199,0.7576754385964912,0.7576754385964912,0.7536231884057971,0.7664399092970522,0.7412280701754386,0.7412280701754386,0.7741228070175439,0.5156299249155308,0.21096568048227107,1.220516172289739,353,103,118,338,,,,
46,matched-development grouped OOF,Contextual branch,912,912,456,456,0.935672514619883,0.9269459498900444,0.8673245614035088,0.8673245614035088,0.871413390010627,0.845360824742268,0.8991228070175439,0.8991228070175439,0.8355263157894737,0.7361392938160861,0.10667739923844892,0.46657825181981294,381,75,46,410,,,,
46,matched-development grouped OOF,Equal probability mean,912,912,456,456,0.9231830947983994,0.921941509050488,0.8234649122807017,0.8234649122807017,0.8228822882288229,0.82560706401766,0.8201754385964912,0.8201754385964912,0.8267543859649122,0.6469438254016454,0.11450676659746298,0.3880701481689054,377,79,82,374,,,,
46,matched-development grouped OOF,Equal logit mean,912,912,456,456,0.9264869959987688,0.9240139936855166,0.8234649122807017,0.8234649122807017,0.8228822882288229,0.82560706401766,0.8201754385964912,0.8201754385964912,0.8267543859649122,0.6469438254016454,0.1393127710212364,0.539456086817698,377,79,82,374,,,,
46,matched-development grouped OOF,Learned convex probability mean,912,912,456,456,0.939567943982764,0.9367207809042364,0.8629385964912281,0.8629385964912281,0.8671625929861849,0.8412371134020619,0.8947368421052632,0.8947368421052632,0.831140350877193,0.7273495709048492,0.09921554993555176,0.34901334627707165,379,77,48,408,,,,
46,matched-development grouped OOF,Nested logistic fusion,912,912,456,456,0.9402268005540165,0.9356115881851722,0.8651315789473685,0.8651315789473684,0.867027027027027,0.8550106609808102,0.8793859649122807,0.8793859649122807,0.8508771929824561,0.7305600996304501,0.09583468483418663,0.30641741133203093,388,68,55,401,,,,
46,untouched released test after matched training,Molecular branch,912,302,150,152,0.9139912280701754,0.9120835743692591,0.8245033112582781,0.8243859649122807,0.8203389830508474,0.8344827586206897,0.8066666666666666,0.8066666666666666,0.8421052631578947,0.6492704647802581,0.15295897726456423,0.7683342750665553,128,24,29,121,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
46,untouched released test after matched training,Contextual branch,912,302,150,152,0.9092982456140349,0.9073199446840798,0.8377483443708609,0.8378947368421052,0.8403908794788274,0.821656050955414,0.86,0.86,0.8157894736842105,0.6763087696953906,0.13677879080288835,0.7059061819437124,124,28,21,129,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
46,untouched released test after matched training,Equal probability mean,912,302,150,152,0.940701754385965,0.9254188489722439,0.8741721854304636,0.8741666666666666,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.875,0.7483333333333333,0.10001977470948602,0.35925768901127164,133,19,19,131,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
46,untouched released test after matched training,Equal logit mean,912,302,150,152,0.9515350877192982,0.9401236282616661,0.8741721854304636,0.8741666666666666,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.875,0.7483333333333333,0.09883234850982638,0.40785109049048757,133,19,19,131,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
46,untouched released test after matched training,Learned convex probability mean,912,302,150,152,0.9325438596491228,0.9200182378881753,0.8509933774834437,0.851140350877193,0.8534201954397395,0.8343949044585988,0.8733333333333333,0.8733333333333333,0.8289473684210527,0.7028203543849035,0.11052629090426655,0.3860979061039991,126,26,19,131,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
46,untouched released test after matched training,Nested logistic fusion,912,302,150,152,0.9351754385964912,0.9273773612231029,0.8708609271523179,0.8709210526315789,0.8712871287128713,0.8627450980392157,0.88,0.88,0.8618421052631579,0.7418909154816706,0.10058336432252613,0.33213908208814635,131,21,18,132,0.20873407394456314,0.07644218511851897,0.3382278606053554,0.009561045105456495
