seed,fold,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
43,3,Equal probability mean,513,259,254,0.9872161250114007,0.9889215075180492,0.9395711500974658,0.939622412063357,0.9398058252427185,0.9453125,0.9343629343629344,0.9343629343629344,0.9448818897637795,0.8792047311881627,0.045013608810956625,0.14818826320510625,240,14,17,242
43,3,Equal logit mean,513,259,254,0.9873073298270149,0.9889265592502587,0.9395711500974658,0.939622412063357,0.9398058252427185,0.9453125,0.9343629343629344,0.9343629343629344,0.9448818897637795,0.8792047311881627,0.04700193954835112,0.20728554965241922,240,14,17,242
43,3,Learned convex probability mean,513,259,254,0.9867753017359318,0.9884674649053203,0.935672514619883,0.9356094001763293,0.9366602687140115,0.9312977099236641,0.9420849420849421,0.9420849420849421,0.9291338582677166,0.8713777625484261,0.047390046480479876,0.15588157788511794,236,18,15,244
43,3,Nested logistic fusion,513,259,254,0.9867296993281246,0.9888113883433274,0.9473684210526315,0.9472684157723528,0.9483747609942639,0.9393939393939394,0.9575289575289575,0.9575289575289575,0.937007874015748,0.894876967389581,0.04455449562930352,0.15021529678419046,238,16,11,248
43,3,Feature concatenation LR,513,259,254,0.9868817073541484,0.9889656390652384,0.9317738791423001,0.9315583862827957,0.9338374291115312,0.9148148148148149,0.9536679536679536,0.9536679536679536,0.9094488188976378,0.8642736603420735,0.04621209829586029,0.17508061864317773,231,23,12,247
43,4,Molecular branch,533,266,267,0.9705584185182055,0.974349504990351,0.9099437148217636,0.9098800371715806,0.9066147859922179,0.9395161290322581,0.8759398496240601,0.8759398496240601,0.9438202247191011,0.8217409714907484,0.07912136979442048,0.5067090485959809,252,15,33,233
43,4,Contextual branch,533,266,267,0.9797949931007294,0.9800711774012514,0.924953095684803,0.924938751372814,0.9242424242424242,0.9312977099236641,0.9172932330827067,0.9172932330827067,0.9325842696629213,0.849997192002597,0.06445814651968748,0.30589751306333307,249,18,22,244
43,4,Equal probability mean,533,266,267,0.9791191461800569,0.9807661777260585,0.9287054409005628,0.9286488693644224,0.9263565891472868,0.956,0.8984962406015038,0.8984962406015038,0.9588014981273408,0.8589441082939604,0.0583734974460125,0.2581761830028349,256,11,27,239
43,4,Equal logit mean,533,266,267,0.981224127735068,0.9828376180473389,0.9287054409005628,0.9286488693644224,0.9263565891472868,0.956,0.8984962406015038,0.8984962406015038,0.9588014981273408,0.8589441082939604,0.06144593870265287,0.31900814610223605,256,11,27,239
43,4,Learned convex probability mean,533,266,267,0.9792881079102249,0.980615824114163,0.9287054409005628,0.9286911097969643,0.928030303030303,0.9351145038167938,0.9210526315789473,0.9210526315789473,0.9363295880149812,0.8575029657490746,0.05780942962863538,0.2517041892835291,250,17,21,245
