evaluation,replicate,metric,value
Similarity-grouped development OOF,25,ECE_equal_width_10,0.013516264264008647
Similarity-grouped development OOF,25,ECE_equal_frequency_10,0.010484519319211998
Similarity-grouped development OOF,25,Calibration_intercept,0.12939394121789558
Similarity-grouped development OOF,25,Calibration_slope,0.9880121035044249
Similarity-grouped development OOF,26,Brier,0.053723246669719824
Similarity-grouped development OOF,26,LogLoss,0.17632362432578313
Similarity-grouped development OOF,26,ECE_equal_width_10,0.009213077590649692
Similarity-grouped development OOF,26,ECE_equal_frequency_10,0.010165860399044525
Similarity-grouped development OOF,26,Calibration_intercept,0.06204131536549054
Similarity-grouped development OOF,26,Calibration_slope,0.968994647146552
Similarity-grouped development OOF,27,Brier,0.04756772131104162
Similarity-grouped development OOF,27,LogLoss,0.15695794587827733
Similarity-grouped development OOF,27,ECE_equal_width_10,0.012727890271819515
Similarity-grouped development OOF,27,ECE_equal_frequency_10,0.010637841639234192
Similarity-grouped development OOF,27,Calibration_intercept,0.014944146375614028
Similarity-grouped development OOF,27,Calibration_slope,1.024695202359464
Similarity-grouped development OOF,28,Brier,0.04580314708815936
Similarity-grouped development OOF,28,LogLoss,0.15046457478715364
Similarity-grouped development OOF,28,ECE_equal_width_10,0.012954345453834743
Similarity-grouped development OOF,28,ECE_equal_frequency_10,0.008488053287472132
Similarity-grouped development OOF,28,Calibration_intercept,0.11918296748162087
Similarity-grouped development OOF,28,Calibration_slope,1.0775783723251415
Similarity-grouped development OOF,29,Brier,0.048863345073028815
Similarity-grouped development OOF,29,LogLoss,0.16332743608487196
Similarity-grouped development OOF,29,ECE_equal_width_10,0.01834028745811325
Similarity-grouped development OOF,29,ECE_equal_frequency_10,0.014947687992828078
Similarity-grouped development OOF,29,Calibration_intercept,0.2797178112162363
Similarity-grouped development OOF,29,Calibration_slope,1.0398912863040808
Similarity-grouped development OOF,30,Brier,0.046040450464500525
Similarity-grouped development OOF,30,LogLoss,0.15246369167077709
Similarity-grouped development OOF,30,ECE_equal_width_10,0.01007929069822162
Similarity-grouped development OOF,30,ECE_equal_frequency_10,0.008073969160476667
Similarity-grouped development OOF,30,Calibration_intercept,0.08462401664128645
Similarity-grouped development OOF,30,Calibration_slope,1.0307105416836744
Similarity-grouped development OOF,31,Brier,0.05030906465572226
Similarity-grouped development OOF,31,LogLoss,0.16526546830022235
Similarity-grouped development OOF,31,ECE_equal_width_10,0.01573812078636582
Similarity-grouped development OOF,31,ECE_equal_frequency_10,0.017553502920847903
Similarity-grouped development OOF,31,Calibration_intercept,0.2250501081396543
Similarity-grouped development OOF,31,Calibration_slope,1.0216564607559786
Similarity-grouped development OOF,32,Brier,0.048217519202787024
Similarity-grouped development OOF,32,LogLoss,0.1578828215698449
Similarity-grouped development OOF,32,ECE_equal_width_10,0.014955228195813932
Similarity-grouped development OOF,32,ECE_equal_frequency_10,0.011891978557597025
Similarity-grouped development OOF,32,Calibration_intercept,-0.05395730595802253
Similarity-grouped development OOF,32,Calibration_slope,1.0064681563910023
Similarity-grouped development OOF,33,Brier,0.04969645661465186
Similarity-grouped development OOF,33,LogLoss,0.16469481120252474
Similarity-grouped development OOF,33,ECE_equal_width_10,0.01432499616504401
Similarity-grouped development OOF,33,ECE_equal_frequency_10,0.00785771766730224
Similarity-grouped development OOF,33,Calibration_intercept,-0.017589388733045556
Similarity-grouped development OOF,33,Calibration_slope,1.003181565190148
Similarity-grouped development OOF,34,Brier,0.05238297771866697
Similarity-grouped development OOF,34,LogLoss,0.1724788211281337
Similarity-grouped development OOF,34,ECE_equal_width_10,0.01014621016255277
Similarity-grouped development OOF,34,ECE_equal_frequency_10,0.013778817291266855
Similarity-grouped development OOF,34,Calibration_intercept,-0.05272305324880485
Similarity-grouped development OOF,34,Calibration_slope,0.9566919945400832
Similarity-grouped development OOF,35,Brier,0.049560192054449545
Similarity-grouped development OOF,35,LogLoss,0.1651095072472662
Similarity-grouped development OOF,35,ECE_equal_width_10,0.009455534579218744
Similarity-grouped development OOF,35,ECE_equal_frequency_10,0.007734030608041819
Similarity-grouped development OOF,35,Calibration_intercept,-0.05133784257155579
Similarity-grouped development OOF,35,Calibration_slope,1.0040912770578172
Similarity-grouped development OOF,36,Brier,0.04812592568258341
Similarity-grouped development OOF,36,LogLoss,0.15964396206705542
Similarity-grouped development OOF,36,ECE_equal_width_10,0.009876530490578135
Similarity-grouped development OOF,36,ECE_equal_frequency_10,0.009412384747344661
Similarity-grouped development OOF,36,Calibration_intercept,0.0457777409010522
Similarity-grouped development OOF,36,Calibration_slope,1.0146381960588047
Similarity-grouped development OOF,37,Brier,0.05036443280635592
Similarity-grouped development OOF,37,LogLoss,0.1631084397869851
Similarity-grouped development OOF,37,ECE_equal_width_10,0.01681968515610626
Similarity-grouped development OOF,37,ECE_equal_frequency_10,0.0113612656628123
Similarity-grouped development OOF,37,Calibration_intercept,0.15488144458404363
Similarity-grouped development OOF,37,Calibration_slope,1.01905370432017
Similarity-grouped development OOF,38,Brier,0.04688545282552955
Similarity-grouped development OOF,38,LogLoss,0.15474498854271201
Similarity-grouped development OOF,38,ECE_equal_width_10,0.01465369338393748
Similarity-grouped development OOF,38,ECE_equal_frequency_10,0.0053494513444751705
Similarity-grouped development OOF,38,Calibration_intercept,0.07205731883779178
Similarity-grouped development OOF,38,Calibration_slope,1.0507194459856277
Similarity-grouped development OOF,39,Brier,0.04879721149635244
Similarity-grouped development OOF,39,LogLoss,0.16039316569492237
Similarity-grouped development OOF,39,ECE_equal_width_10,0.012993537052494553
Similarity-grouped development OOF,39,ECE_equal_frequency_10,0.008292897212679007
Similarity-grouped development OOF,39,Calibration_intercept,0.07811157486234271
Similarity-grouped development OOF,39,Calibration_slope,1.0306171187910393
Similarity-grouped development OOF,40,Brier,0.04532197821057529
Similarity-grouped development OOF,40,LogLoss,0.14935015655912323
Similarity-grouped development OOF,40,ECE_equal_width_10,0.013363549599351314
Similarity-grouped development OOF,40,ECE_equal_frequency_10,0.008264542988795188
Similarity-grouped development OOF,40,Calibration_intercept,0.012752523442778609
Similarity-grouped development OOF,40,Calibration_slope,1.0498284260327841
Similarity-grouped development OOF,41,Brier,0.04523901819071189
Similarity-grouped development OOF,41,LogLoss,0.15081636776250243
Similarity-grouped development OOF,41,ECE_equal_width_10,0.011306962177681765
Similarity-grouped development OOF,41,ECE_equal_frequency_10,0.008114357577410239
Similarity-grouped development OOF,41,Calibration_intercept,0.08846656031827184
Similarity-grouped development OOF,41,Calibration_slope,1.046591756441157
Similarity-grouped development OOF,42,Brier,0.04396268349723956
Similarity-grouped development OOF,42,LogLoss,0.14637141248251967
Similarity-grouped development OOF,42,ECE_equal_width_10,0.011692746495972184
Similarity-grouped development OOF,42,ECE_equal_frequency_10,0.008276936159669707
Similarity-grouped development OOF,42,Calibration_intercept,-0.04937149516475111
Similarity-grouped development OOF,42,Calibration_slope,1.0487019252394187
Similarity-grouped development OOF,43,Brier,0.05044203040129144
Similarity-grouped development OOF,43,LogLoss,0.1617824796415637
Similarity-grouped development OOF,43,ECE_equal_width_10,0.017129927628926386
Similarity-grouped development OOF,43,ECE_equal_frequency_10,0.015090994138730818
Similarity-grouped development OOF,43,Calibration_intercept,-0.17526549734588412
Similarity-grouped development OOF,43,Calibration_slope,0.994199673585912
Similarity-grouped development OOF,44,Brier,0.044381721470876836
Similarity-grouped development OOF,44,LogLoss,0.1524685644905139
Similarity-grouped development OOF,44,ECE_equal_width_10,0.014588595054682114
Similarity-grouped development OOF,44,ECE_equal_frequency_10,0.008876240970122134
Similarity-grouped development OOF,44,Calibration_intercept,0.13400493845806177
Similarity-grouped development OOF,44,Calibration_slope,1.0125423521985368
Similarity-grouped development OOF,45,Brier,0.0471871925215528
Similarity-grouped development OOF,45,LogLoss,0.1558887177828126
Similarity-grouped development OOF,45,ECE_equal_width_10,0.016823157320011897
Similarity-grouped development OOF,45,ECE_equal_frequency_10,0.009233713973187285
Similarity-grouped development OOF,45,Calibration_intercept,0.08384372977314583
Similarity-grouped development OOF,45,Calibration_slope,1.024844066553237
Similarity-grouped development OOF,46,Brier,0.04970495569501495
Similarity-grouped development OOF,46,LogLoss,0.16239751433368094
Similarity-grouped development OOF,46,ECE_equal_width_10,0.016085265030232672
Similarity-grouped development OOF,46,ECE_equal_frequency_10,0.009039347575806012
Similarity-grouped development OOF,46,Calibration_intercept,-0.06577612600555269
Similarity-grouped development OOF,46,Calibration_slope,1.0193357429532834
Similarity-grouped development OOF,47,Brier,0.043618182707576655
Similarity-grouped development OOF,47,LogLoss,0.14634175534961094
Similarity-grouped development OOF,47,ECE_equal_width_10,0.010974381767985038
Similarity-grouped development OOF,47,ECE_equal_frequency_10,0.00743252420237619
Similarity-grouped development OOF,47,Calibration_intercept,-0.09051873937457627
Similarity-grouped development OOF,47,Calibration_slope,1.0722151909927762
Similarity-grouped development OOF,48,Brier,0.05032679081326136
Similarity-grouped development OOF,48,LogLoss,0.1645019569175291
Similarity-grouped development OOF,48,ECE_equal_width_10,0.015904971264032296
Similarity-grouped development OOF,48,ECE_equal_frequency_10,0.011486686661361737
Similarity-grouped development OOF,48,Calibration_intercept,0.0046998466769777435
Similarity-grouped development OOF,48,Calibration_slope,0.994713150863535
Similarity-grouped development OOF,49,Brier,0.050682216744867295
Similarity-grouped development OOF,49,LogLoss,0.16426084547677683
Similarity-grouped development OOF,49,ECE_equal_width_10,0.012337344373390517
Similarity-grouped development OOF,49,ECE_equal_frequency_10,0.012767073081529258
Similarity-grouped development OOF,49,Calibration_intercept,0.10926202520309425
Similarity-grouped development OOF,49,Calibration_slope,1.0132305314150751
Similarity-grouped development OOF,50,Brier,0.04780068893053414
Similarity-grouped development OOF,50,LogLoss,0.15887355659811886
Similarity-grouped development OOF,50,ECE_equal_width_10,0.012933099787325583
Similarity-grouped development OOF,50,ECE_equal_frequency_10,0.01085369471167005
Similarity-grouped development OOF,50,Calibration_intercept,0.020193682523047825
Similarity-grouped development OOF,50,Calibration_slope,1.0030332491095941
Similarity-grouped development OOF,51,Brier,0.04967184550309318
Similarity-grouped development OOF,51,LogLoss,0.16128327826970396
Similarity-grouped development OOF,51,ECE_equal_width_10,0.01232086880246319
Similarity-grouped development OOF,51,ECE_equal_frequency_10,0.01069389632400428
Similarity-grouped development OOF,51,Calibration_intercept,0.08098308824299648
Similarity-grouped development OOF,51,Calibration_slope,1.0444537987754499
