evaluation,seed,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
released test sensitivity,42,Learned convex probability mean,302,150,152,0.9820175438596491,0.9839167732343055,0.9337748344370861,0.9339035087719298,0.934640522875817,0.9166666666666666,0.9533333333333334,0.9533333333333334,0.9144736842105263,0.8682641189806363,0.05059783123569739,0.21726372373106345,139,13,7,143
released test sensitivity,42,Nested logistic fusion,302,150,152,0.9830701754385964,0.984111561358238,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.048969739869974827,0.1685479269256159,142,10,8,142
released test sensitivity,42,Feature concatenation LR,302,150,152,0.9814912280701754,0.9830602571058238,0.9370860927152318,0.9371491228070176,0.9372937293729373,0.9281045751633987,0.9466666666666667,0.9466666666666667,0.9276315789473685,0.8743557709123579,0.05381957332268809,0.21764250236198684,141,11,8,142
development grouped OOF,43,Molecular branch,2735,1359,1376,0.9646419434604788,0.9679527020760584,0.9023765996343693,0.9022614631996851,0.8999625327838142,0.916793893129771,0.88373804267844,0.88373804267844,0.9207848837209303,0.8052195117088516,0.08710243446738765,0.5647531387085934,1267,109,158,1201
development grouped OOF,43,Contextual branch,2735,1359,1376,0.9797570460495918,0.9803968717760883,0.9184643510054845,0.9184316550302034,0.9175600739371534,0.9219910846953938,0.9131714495952906,0.9131714495952906,0.9236918604651163,0.8369505909545575,0.06676045655896153,0.3044307864457244,1271,105,118,1241
development grouped OOF,43,Equal probability mean,2735,1359,1376,0.9792463464928043,0.9809393225360181,0.9246800731261426,0.9245135252494139,0.9221466364323507,0.947940947940948,0.8977189109639441,0.8977189109639441,0.9513081395348837,0.8504855089809958,0.058897829447643504,0.2350392557146975,1309,67,139,1220
development grouped OOF,43,Equal logit mean,2735,1359,1376,0.9817006455670209,0.9828038955615896,0.9246800731261426,0.9245135252494139,0.9221466364323507,0.947940947940948,0.8977189109639441,0.8977189109639441,0.9513081395348837,0.8504855089809958,0.06259807885299776,0.30510529042100576,1309,67,139,1220
development grouped OOF,43,Learned convex probability mean,2735,1359,1376,0.9799426091346236,0.9814341466035905,0.9243144424131627,0.9242592449988877,0.9231910946196661,0.9311377245508982,0.9153789551140544,0.9153789551140544,0.9331395348837209,0.848727295306789,0.05834466741193058,0.2295993527255243,1284,92,115,1244
development grouped OOF,43,Nested logistic fusion,2735,1359,1376,0.98276749961497,0.9836950018120292,0.9257769652650822,0.9257218243578554,0.9246753246753247,0.9326347305389222,0.9168506254598969,0.9168506254598969,0.934593023255814,0.8516531738542594,0.052129470647069596,0.17078103687067103,1286,90,113,1246
development grouped OOF,43,Feature concatenation LR,2735,1359,1376,0.9838998622448107,0.9847053975944792,0.926873857404022,0.9268892140253606,0.9266324284666178,0.9239209948792977,0.9293598233995585,0.9293598233995585,0.9244186046511628,0.8537619920085593,0.052050880677279907,0.19632676504737817,1272,104,96,1263
released test sensitivity,43,Molecular branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.4647399099776098,142,10,17,133
released test sensitivity,43,Contextual branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634594191279,0.3190096766793099,140,12,7,143
released test sensitivity,43,Equal probability mean,302,150,152,0.9814473684210526,0.9833841176768764,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05174254025430952,0.2193082132901628,142,10,11,139
released test sensitivity,43,Equal logit mean,302,150,152,0.9829824561403508,0.9844513079699975,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05827522076357034,0.29105331112940863,142,10,11,139
released test sensitivity,43,Learned convex probability mean,302,150,152,0.9820175438596491,0.9839167732343055,0.9337748344370861,0.9339035087719298,0.934640522875817,0.9166666666666666,0.9533333333333334,0.9533333333333334,0.9144736842105263,0.8682641189806363,0.050620703272986456,0.2173578860113432,139,13,7,143
released test sensitivity,43,Nested logistic fusion,302,150,152,0.9828947368421053,0.9838964635707363,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.049060557467496387,0.16898703852611985,142,10,8,142
released test sensitivity,43,Feature concatenation LR,302,150,152,0.9814912280701754,0.9830602571058238,0.9370860927152318,0.9371491228070176,0.9372937293729373,0.9281045751633987,0.9466666666666667,0.9466666666666667,0.9276315789473685,0.8743557709123579,0.05381957332268809,0.21764250236198684,141,11,8,142
development grouped OOF,44,Molecular branch,2735,1359,1376,0.9651317872238478,0.9694964952711704,0.9042047531992687,0.9041010511319882,0.9020194465220643,0.9171102661596958,0.8874172185430463,0.8874172185430463,0.9207848837209303,0.8087827362037644,0.0847626024471924,0.5312511036173942,1267,109,153,1206
development grouped OOF,44,Contextual branch,2735,1359,1376,0.9803313825145027,0.9803159593240889,0.9250457038391224,0.9250405351061828,0.9245491350754509,0.9248895434462445,0.9242089771891097,0.9242089771891097,0.9258720930232558,0.8500851615761769,0.06282553047062306,0.2912069578288058,1274,102,103,1256
development grouped OOF,44,Equal probability mean,2735,1359,1376,0.9807035782124338,0.9822393448342409,0.9246800731261426,0.9245317072231634,0.9223813112283346,0.9451737451737452,0.9006622516556292,0.9006622516556292,0.9484011627906976,0.8502427607559498,0.05647030448935834,0.21593093459696241,1305,71,135,1224
development grouped OOF,44,Equal logit mean,2735,1359,1376,0.982504128377569,0.9837185300362302,0.9246800731261426,0.9245317072231634,0.9223813112283346,0.9451737451737452,0.9006622516556292,0.9006622516556292,0.9484011627906976,0.8502427607559498,0.06016294499069177,0.28891525400495593,1305,71,135,1224
development grouped OOF,44,Learned convex probability mean,2735,1359,1376,0.9818458339750501,0.9831328468087739,0.9250457038391224,0.9250178076389959,0.9242704100480237,0.9280415430267063,0.9205298013245033,0.9205298013245033,0.9295058139534884,0.8501056274587315,0.05520823858220487,0.20920729367866273,1279,97,108,1251
development grouped OOF,44,Nested logistic fusion,2735,1359,1376,0.9836693789893389,0.9844163815145679,0.9305301645338209,0.9305183894621558,0.9299926308032425,0.9313653136531366,0.9286239882266373,0.9286239882266373,0.9324127906976745,0.8610561185353002,0.0505510790676644,0.1663930839098497,1283,93,97,1262
development grouped OOF,44,Feature concatenation LR,2735,1359,1376,0.9827939704296935,0.9837713237911221,0.9294332723948812,0.9294555461437103,0.929278123854892,0.9255474452554745,0.9330389992641648,0.9330389992641648,0.9258720930232558,0.8588959353043785,0.05355366315375943,0.20766794919494064,1274,102,91,1268
released test sensitivity,44,Molecular branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.4647399099776098,142,10,17,133
released test sensitivity,44,Contextual branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634594191279,0.3190096766793099,140,12,7,143
released test sensitivity,44,Equal probability mean,302,150,152,0.9814473684210526,0.9833841176768764,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05174254025430952,0.2193082132901628,142,10,11,139
released test sensitivity,44,Equal logit mean,302,150,152,0.9829824561403508,0.9844513079699975,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05827522076357034,0.29105331112940863,142,10,11,139
released test sensitivity,44,Learned convex probability mean,302,150,152,0.9820614035087719,0.9839728334335434,0.9337748344370861,0.9339035087719298,0.934640522875817,0.9166666666666666,0.9533333333333334,0.9533333333333334,0.9144736842105263,0.8682641189806363,0.05067043139545501,0.21755642457206728,139,13,7,143
released test sensitivity,44,Nested logistic fusion,302,150,152,0.9829385964912281,0.9839281362295277,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.04885953270581722,0.1682957040459588,142,10,8,142
released test sensitivity,44,Feature concatenation LR,302,150,152,0.9814912280701754,0.9830602571058238,0.9370860927152318,0.9371491228070176,0.9372937293729373,0.9281045751633987,0.9466666666666667,0.9466666666666667,0.9276315789473685,0.8743557709123579,0.05381957332268809,0.21764250236198684,141,11,8,142
development grouped OOF,45,Molecular branch,2735,1359,1376,0.9629836405017369,0.9674458648074673,0.8972577696526508,0.8971197079761111,0.8943211733734486,0.9146153846153846,0.8749080206033848,0.8749080206033848,0.9193313953488372,0.7951933779040072,0.08817863440229033,0.5680060550038505,1265,111,170,1189
development grouped OOF,45,Contextual branch,2735,1359,1376,0.9816073292605714,0.9818718385394738,0.9239488117001828,0.9239549643205502,0.9235855988243938,0.9222303741746148,0.9249448123620309,0.9249448123620309,0.9229651162790697,0.8478981396640957,0.06235192073780958,0.2831236968506047,1270,106,102,1257
development grouped OOF,45,Equal probability mean,2735,1359,1376,0.9803939498947585,0.981647739350804,0.9246800731261426,0.9245453437034755,0.9225563909774436,0.9431206764027671,0.9028697571743929,0.9028697571743929,0.9462209302325582,0.8500800009556096,0.0572743323260681,0.22586232073679102,1302,74,132,1227
development grouped OOF,45,Equal logit mean,2735,1359,1376,0.9819019841881,0.9829633793701512,0.9246800731261426,0.9245453437034755,0.9225563909774436,0.9431206764027671,0.9028697571743929,0.9028697571743929,0.9462209302325582,0.8500800009556096,0.06059782183928197,0.29988907644316215,1302,74,132,1227
development grouped OOF,45,Learned convex probability mean,2735,1359,1376,0.9817677584407138,0.9828041108960064,0.9246800731261426,0.9246589810394099,0.9239852398523986,0.926720947446336,0.9212656364974245,0.9212656364974245,0.9280523255813954,0.8493633841838135,0.055353362133009516,0.2174708922689615,1277,99,107,1252
development grouped OOF,45,Nested logistic fusion,2735,1359,1376,0.983814834779335,0.984297487213132,0.930164533820841,0.9301504718756952,0.9295982307408772,0.931314623338257,0.927888153053716,0.927888153053716,0.9324127906976745,0.8603262480532035,0.04964442748322613,0.16521599596617279,1283,93,98,1261
development grouped OOF,45,Feature concatenation LR,2735,1359,1376,0.9837105558122422,0.984603968988467,0.9319926873857404,0.93202187826206,0.931918008784773,0.9271667880553532,0.9367181751287712,0.9367181751287712,0.9273255813953488,0.8640340534393661,0.05217096082835165,0.20178707924190367,1276,100,86,1273
released test sensitivity,45,Molecular branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.46473990997760967,142,10,17,133
released test sensitivity,45,Contextual branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634594191279,0.3190096766793099,140,12,7,143
released test sensitivity,45,Equal probability mean,302,150,152,0.9814473684210526,0.9833841176768764,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05174254025430952,0.2193082132901628,142,10,11,139
released test sensitivity,45,Equal logit mean,302,150,152,0.9829824561403508,0.9844513079699975,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05827522076357034,0.29105331112940863,142,10,11,139
released test sensitivity,45,Learned convex probability mean,302,150,152,0.9819298245614035,0.9838521263532898,0.9337748344370861,0.9339035087719298,0.934640522875817,0.9166666666666666,0.9533333333333334,0.9533333333333334,0.9144736842105263,0.8682641189806363,0.05081966915911013,0.21812993030119793,139,13,7,143
released test sensitivity,45,Nested logistic fusion,302,150,152,0.9830263157894736,0.9840101685034095,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.04885764934139567,0.16928255401842598,142,10,8,142
released test sensitivity,45,Feature concatenation LR,302,150,152,0.9814912280701754,0.9830602571058238,0.9370860927152318,0.9371491228070176,0.9372937293729373,0.9281045751633987,0.9466666666666667,0.9466666666666667,0.9276315789473685,0.8743557709123579,0.05381957332268809,0.21764250236198684,141,11,8,142
development grouped OOF,46,Molecular branch,2735,1359,1376,0.9650210910895495,0.9686526601484353,0.9005484460694698,0.9004264207608192,0.8979744936234059,0.9158377964804897,0.8807947019867549,0.8807947019867549,0.9200581395348837,0.8016222603161558,0.08737859827785678,0.5514710446475126,1266,110,162,1197
development grouped OOF,46,Contextual branch,2735,1359,1376,0.9810682872152916,0.9812674878085846,0.9239488117001828,0.9239549643205502,0.9235855988243938,0.9222303741746148,0.9249448123620309,0.9249448123620309,0.9229651162790697,0.8478981396640957,0.06320913353379375,0.2911180934235638,1270,106,102,1257
development grouped OOF,46,Equal probability mean,2735,1359,1376,0.9808554511696356,0.9822182325272484,0.9257769652650822,0.925630914489108,0.9235404896421846,0.9459876543209876,0.9021339220014717,0.9021339220014717,0.9491279069767442,0.8524113178798839,0.056923223275104795,0.21902018932269804,1306,70,133,1226
development grouped OOF,46,Equal logit mean,2735,1359,1376,0.9832281987439464,0.9841340373147349,0.9257769652650822,0.925630914489108,0.9235404896421846,0.9459876543209876,0.9021339220014717,0.9021339220014717,0.9491279069767442,0.8524113178798839,0.06114654849303717,0.2871539615991471,1306,70,133,1226
development grouped OOF,46,Learned convex probability mean,2735,1359,1376,0.9821019858993445,0.9831855067620452,0.9250457038391224,0.9250178076389959,0.9242704100480237,0.9280415430267063,0.9205298013245033,0.9205298013245033,0.9295058139534884,0.8501056274587315,0.05520344030113898,0.21294423766748852,1279,97,108,1251
development grouped OOF,46,Nested logistic fusion,2735,1359,1376,0.9845592261751972,0.9851242113036132,0.9290676416819013,0.9290694465835001,0.9286764705882353,0.9279941219691403,0.9293598233995585,0.9293598233995585,0.9287790697674418,0.8581320097238692,0.04972268884110949,0.16253639635636405,1278,98,96,1263
development grouped OOF,46,Feature concatenation LR,2735,1359,1376,0.9841918433526704,0.9848899980949181,0.9319926873857404,0.93202187826206,0.931918008784773,0.9271667880553532,0.9367181751287712,0.9367181751287712,0.9273255813953488,0.8640340534393661,0.05145203599129118,0.1949015233112559,1276,100,86,1273
released test sensitivity,46,Molecular branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.46473990997760967,142,10,17,133
released test sensitivity,46,Contextual branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634594191279,0.3190096766793099,140,12,7,143
released test sensitivity,46,Equal probability mean,302,150,152,0.9814473684210526,0.9833841176768764,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05174254025430952,0.2193082132901628,142,10,11,139
released test sensitivity,46,Equal logit mean,302,150,152,0.9829824561403508,0.9844513079699975,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05827522076357034,0.29105331112940863,142,10,11,139
released test sensitivity,46,Learned convex probability mean,302,150,152,0.9820175438596491,0.9839167732343055,0.9337748344370861,0.9339035087719298,0.934640522875817,0.9166666666666666,0.9533333333333334,0.9533333333333334,0.9144736842105263,0.8682641189806363,0.050590753077255066,0.21723404241233063,139,13,7,143
released test sensitivity,46,Nested logistic fusion,302,150,152,0.9829385964912281,0.9839356600430538,0.9403973509933775,0.9404385964912281,0.9403973509933775,0.9342105263157895,0.9466666666666667,0.9466666666666667,0.9342105263157895,0.8808771929824561,0.048836762942461906,0.16839191628896696,142,10,8,142
released test sensitivity,46,Feature concatenation LR,302,150,152,0.9814912280701754,0.9830602571058238,0.9370860927152318,0.9371491228070176,0.9372937293729373,0.9281045751633987,0.9466666666666667,0.9466666666666667,0.9276315789473685,0.8743557709123579,0.05381957332268809,0.21764250236198684,141,11,8,142
