model,metric,estimate,ci_low,ci_high,overall_effective_sample_size,positive_effective_sample_size,negative_effective_sample_size,max_absolute_smd_after_weighting,propensity_model,interpretation
Molecular ECFP4 branch,Precision,0.8214921784544453,0.717477254174451,0.9212419787383314,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,Recall,0.7017880485501812,0.5844973161972067,0.818304739315059,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,MCC,0.5552083361257514,0.411891016441202,0.7065872114764182,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,Brier,0.18975501053178334,0.12502674218089815,0.2573042620733989,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Molecular ECFP4 branch,LogLoss,1.3087301364026664,0.7158341704722411,2.00732749683377,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,AUC,0.9105670817438578,0.849100214564178,0.9624984300717003,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,AUPRC,0.8941964516389895,0.8090994321831391,0.9647056058905032,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,ACC,0.8510379221283954,0.7820364083529091,0.9189755056303265,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,F1,0.8513646681180422,0.779164084676554,0.9206265403609384,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,Precision,0.8495221479591486,0.7664309486425751,0.9348594406089008,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,Recall,0.8532151980967417,0.7476320287109977,0.9465675729102955,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,MCC,0.7020824465675025,0.5662321869229142,0.8382722830307416,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,Brier,0.13628324908249706,0.076751946036172,0.198946405859989,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
Contextual peptide-adapted ESM-2 branch,LogLoss,0.8361713439206025,0.37272583546006993,1.3922095556595255,138.8271570362156,64.53022143376295,75.09715398465114,0.09007357349330095,"scaled L2 logistic regression, C=1.0",descriptive confound-overlap sensitivity
