model,replicate,metric,value
AnOxFuse,47,ACC,0.8385263401020498
AnOxFuse,47,F1,0.8208503385285422
AnOxFuse,47,Precision,0.8298703877665239
AnOxFuse,47,Recall,0.8120242628648595
AnOxFuse,47,MCC,0.674041414575513
AnOxFuse,47,Brier,0.1247000639950633
AnOxFuse,47,LogLoss,0.39895569188485175
AnOxFuse,48,AUC,0.9104543620822243
AnOxFuse,48,AUPRC,0.8977987380599066
AnOxFuse,48,ACC,0.8111965615489417
AnOxFuse,48,F1,0.8100501283630792
AnOxFuse,48,Precision,0.8350682207649042
AnOxFuse,48,Recall,0.7864874827875658
AnOxFuse,48,MCC,0.6238193990709672
AnOxFuse,48,Brier,0.12721319819085863
AnOxFuse,48,LogLoss,0.39848466438646846
AnOxFuse,49,AUC,0.9245331008977696
AnOxFuse,49,AUPRC,0.9164693225684346
AnOxFuse,49,ACC,0.8602449908689246
AnOxFuse,49,F1,0.8555783693921069
AnOxFuse,49,Precision,0.8509786775613325
AnOxFuse,49,Recall,0.8602280557650303
AnOxFuse,49,MCC,0.7202449948101616
AnOxFuse,49,Brier,0.11928816162079153
AnOxFuse,49,LogLoss,0.364600654477423
AnOxFuse,50,AUC,0.9225767214747307
AnOxFuse,50,AUPRC,0.9246739040347975
AnOxFuse,50,ACC,0.8291146410804691
AnOxFuse,50,F1,0.8211110151330566
AnOxFuse,50,Precision,0.9108537989808498
AnOxFuse,50,Recall,0.747466162041701
AnOxFuse,50,MCC,0.6724121657357094
AnOxFuse,50,Brier,0.12193586872851747
AnOxFuse,50,LogLoss,0.42721093730651366
AnOxFuse,51,AUC,0.8490147500251386
AnOxFuse,51,AUPRC,0.8211244210791779
AnOxFuse,51,ACC,0.7756838784387337
AnOxFuse,51,F1,0.7794265972358918
AnOxFuse,51,Precision,0.8241605243152137
AnOxFuse,51,Recall,0.7392988089775197
AnOxFuse,51,MCC,0.5559818918172067
AnOxFuse,51,Brier,0.1685632473877546
AnOxFuse,51,LogLoss,0.5731058582461783
AnOxFuse,52,AUC,0.9396451300742727
AnOxFuse,52,AUPRC,0.9462108223849038
AnOxFuse,52,ACC,0.930125466316651
AnOxFuse,52,F1,0.9390646539484718
AnOxFuse,52,Precision,0.9333537087355972
AnOxFuse,52,Recall,0.944845916952865
AnOxFuse,52,MCC,0.8572726199392732
AnOxFuse,52,Brier,0.07679263727458409
AnOxFuse,52,LogLoss,0.3017425063991292
AnOxFuse,53,AUC,0.9102186387108754
AnOxFuse,53,AUPRC,0.9160911726684425
AnOxFuse,53,ACC,0.8318202852216139
AnOxFuse,53,F1,0.8194142574790968
AnOxFuse,53,Precision,0.857154459186948
AnOxFuse,53,Recall,0.7848572747291621
AnOxFuse,53,MCC,0.6648688369239087
AnOxFuse,53,Brier,0.1169527113417379
AnOxFuse,53,LogLoss,0.41206642806896243
AnOxFuse,54,AUC,0.9502374136330902
AnOxFuse,54,AUPRC,0.938563142137137
AnOxFuse,54,ACC,0.892655487296345
AnOxFuse,54,F1,0.8961857309572272
AnOxFuse,54,Precision,0.8638018605258521
AnOxFuse,54,Recall,0.9310923157792228
AnOxFuse,54,MCC,0.7877547613133484
AnOxFuse,54,Brier,0.08379838654683486
AnOxFuse,54,LogLoss,0.2809514757878745
AnOxFuse,55,AUC,0.9063710767320399
AnOxFuse,55,AUPRC,0.8878160795295508
AnOxFuse,55,ACC,0.8285675220930987
AnOxFuse,55,F1,0.8243579304065988
AnOxFuse,55,Precision,0.8942558195430698
AnOxFuse,55,Recall,0.764594763279185
AnOxFuse,55,MCC,0.6666481807003565
AnOxFuse,55,Brier,0.11948745427908944
AnOxFuse,55,LogLoss,0.4232338619754911
AnOxFuse,56,AUC,0.8677393559834671
AnOxFuse,56,AUPRC,0.8481787589841727
AnOxFuse,56,ACC,0.7978993845210293
AnOxFuse,56,F1,0.7967594694455606
AnOxFuse,56,Precision,0.8215751302555705
AnOxFuse,56,Recall,0.7733989686584102
AnOxFuse,56,MCC,0.5972270478895214
AnOxFuse,56,Brier,0.1462904415094242
AnOxFuse,56,LogLoss,0.510206184069671
AnOxFuse,57,AUC,0.9261222903930971
AnOxFuse,57,AUPRC,0.9166177490440638
AnOxFuse,57,ACC,0.8443944436845711
AnOxFuse,57,F1,0.8335288127502118
AnOxFuse,57,Precision,0.9117229171717105
AnOxFuse,57,Recall,0.7676879012386394
AnOxFuse,57,MCC,0.6984585583919068
AnOxFuse,57,Brier,0.11504493396437901
